Date,Time,TrafficVolume
10/1/2019,0,111
10/1/2019,1,54
10/1/2019,2,13
10/1/2019,3,14
10/1/2019,4,44
10/1/2019,5,138
10/1/2019,6,237
10/1/2019,7,536
10/1/2019,8,653
10/1/2019,9,504
10/1/2019,10,571
10/1/2019,11,680
10/1/2019,12,782
10/1/2019,13,674
10/1/2019,14,699
10/1/2019,15,858
10/1/2019,16,760
10/1/2019,17,624
10/1/2019,18,653
10/1/2019,19,701
10/1/2019,20,614
10/1/2019,21,542
10/1/2019,22,435
10/1/2019,23,245
10/2/2019,0,128
10/2/2019,1,53
10/2/2019,2,18
10/2/2019,3,22
10/2/2019,4,70
10/2/2019,5,137
10/2/2019,6,248
10/2/2019,7,536
10/2/2019,8,651
10/2/2019,9,552
10/2/2019,10,559
10/2/2019,11,586
10/2/2019,12,714
10/2/2019,13,728
10/2/2019,14,887
10/2/2019,15,738
10/2/2019,16,638
10/2/2019,17,635
10/2/2019,18,679
10/2/2019,19,625
10/2/2019,20,640
10/2/2019,21,562
10/2/2019,22,449
10/2/2019,23,251
10/3/2019,0,157
10/3/2019,1,59
10/3/2019,2,39
10/3/2019,3,15
10/3/2019,4,65
10/3/2019,5,160
10/3/2019,6,233
10/3/2019,7,558
10/3/2019,8,674
10/3/2019,9,568
10/3/2019,10,579
10/3/2019,11,674
10/3/2019,12,753
10/3/2019,13,571
10/3/2019,14,634
10/3/2019,15,607
10/3/2019,16,604
10/3/2019,17,563
10/3/2019,18,560
10/3/2019,19,659
10/3/2019,20,688
10/3/2019,21,554
10/3/2019,22,450
10/3/2019,23,259
10/4/2019,0,231
10/4/2019,1,79
10/4/2019,2,25
10/4/2019,3,36
10/4/2019,4,45
10/4/2019,5,118
10/4/2019,6,197
10/4/2019,7,444
10/4/2019,8,663
10/4/2019,9,620
10/4/2019,10,648
10/4/2019,11,708
10/4/2019,12,843
10/4/2019,13,858
10/4/2019,14,872
10/4/2019,15,697
10/4/2019,16,638
10/4/2019,17,549
10/4/2019,18,689
10/4/2019,19,700
10/4/2019,20,710
10/4/2019,21,603
10/4/2019,22,570
10/4/2019,23,467
10/5/2019,0,332
10/5/2019,1,208
10/5/2019,2,82
10/5/2019,3,50
10/5/2019,4,37
10/5/2019,5,62
10/5/2019,6,129
10/5/2019,7,227
10/5/2019,8,341
10/5/2019,9,510
10/5/2019,10,434
10/5/2019,11,383
10/5/2019,12,635
10/5/2019,13,615
10/5/2019,14,253
10/5/2019,15,0
10/5/2019,16,0
10/5/2019,17,0
10/5/2019,18,0
10/5/2019,19,0
10/5/2019,20,0
10/5/2019,21,0
10/5/2019,22,0
10/5/2019,23,0
10/6/2019,0,0
10/6/2019,1,0
10/6/2019,2,0
10/6/2019,3,0
10/6/2019,4,0
10/6/2019,5,0
10/6/2019,6,0
10/6/2019,7,0
10/6/2019,8,0
10/6/2019,9,0
10/6/2019,10,0
10/6/2019,11,0
10/6/2019,12,0
10/6/2019,13,0
10/6/2019,14,0
10/6/2019,15,21
10/6/2019,16,502
10/6/2019,17,559
10/6/2019,18,483
10/6/2019,19,609
10/6/2019,20,572
10/6/2019,21,424
10/6/2019,22,329
10/6/2019,23,216
10/7/2019,0,125
10/7/2019,1,47
10/7/2019,2,29
10/7/2019,3,18
10/7/2019,4,46
10/7/2019,5,145
10/7/2019,6,232
10/7/2019,7,490
10/7/2019,8,594
10/7/2019,9,570
10/7/2019,10,574
10/7/2019,11,639
10/7/2019,12,631
10/7/2019,13,657
10/7/2019,14,639
10/7/2019,15,562
10/7/2019,16,140
10/7/2019,17,381
10/7/2019,18,519
10/7/2019,19,605
10/7/2019,20,611
10/7/2019,21,491
10/7/2019,22,339
10/7/2019,23,190
10/8/2019,0,133
10/8/2019,1,36
10/8/2019,2,35
10/8/2019,3,19
10/8/2019,4,47
10/8/2019,5,143
10/8/2019,6,243
10/8/2019,7,404
10/8/2019,8,478
10/8/2019,9,451
10/8/2019,10,457
10/8/2019,11,321
10/8/2019,12,336
10/8/2019,13,311
10/8/2019,14,351
10/8/2019,15,547
10/8/2019,16,562
10/8/2019,17,393
10/8/2019,18,426
10/8/2019,19,518
10/8/2019,20,562
10/8/2019,21,515
10/8/2019,22,447
10/8/2019,23,247
10/9/2019,0,153
10/9/2019,1,64
10/9/2019,2,27
10/9/2019,3,22
10/9/2019,4,50
10/9/2019,5,147
10/9/2019,6,221
10/9/2019,7,502
10/9/2019,8,639
10/9/2019,9,555
10/9/2019,10,579
10/9/2019,11,642
10/9/2019,12,704
10/9/2019,13,814
10/9/2019,14,701
10/9/2019,15,637
10/9/2019,16,639
10/9/2019,17,597
10/9/2019,18,623
10/9/2019,19,626
10/9/2019,20,632
10/9/2019,21,525
10/9/2019,22,441
10/9/2019,23,227
10/10/2019,0,160
10/10/2019,1,45
10/10/2019,2,32
10/10/2019,3,24
10/10/2019,4,61
10/10/2019,5,146
10/10/2019,6,219
10/10/2019,7,506
10/10/2019,8,654
10/10/2019,9,566
10/10/2019,10,604
10/10/2019,11,614
