Date,Time,TrafficVolume
10/20/2019,0,434
10/20/2019,1,158
10/20/2019,2,99
10/20/2019,3,50
10/20/2019,4,32
10/20/2019,5,24
10/20/2019,6,58
10/20/2019,7,91
10/20/2019,8,232
10/20/2019,9,274
10/20/2019,10,366
10/20/2019,11,447
10/20/2019,12,378
10/20/2019,13,428
10/20/2019,14,441
10/20/2019,15,410
10/20/2019,16,454
10/20/2019,17,415
10/20/2019,18,453
10/20/2019,19,469
10/20/2019,20,436
10/20/2019,21,367
10/20/2019,22,282
10/20/2019,23,206
10/21/2019,0,110
10/21/2019,1,50
10/21/2019,2,18
10/21/2019,3,18
10/21/2019,4,39
10/21/2019,5,138
10/21/2019,6,231
10/21/2019,7,473
10/21/2019,8,539
10/21/2019,9,516
10/21/2019,10,507
10/21/2019,11,660
10/21/2019,12,745
10/21/2019,13,616
10/21/2019,14,829
10/21/2019,15,703
10/21/2019,16,673
10/21/2019,17,616
10/21/2019,18,685
10/21/2019,19,596
10/21/2019,20,573
10/21/2019,21,476
10/21/2019,22,353
10/21/2019,23,246
10/22/2019,0,127
10/22/2019,1,41
10/22/2019,2,36
10/22/2019,3,21
10/22/2019,4,60
10/22/2019,5,142
10/22/2019,6,210
10/22/2019,7,485
10/22/2019,8,552
10/22/2019,9,535
10/22/2019,10,566
10/22/2019,11,661
10/22/2019,12,672
10/22/2019,13,680
10/22/2019,14,706
10/22/2019,15,638
10/22/2019,16,645
10/22/2019,17,586
10/22/2019,18,637
10/22/2019,19,644
10/22/2019,20,608
10/22/2019,21,507
10/22/2019,22,378
10/22/2019,23,231
10/23/2019,0,155
10/23/2019,1,49
10/23/2019,2,16
10/23/2019,3,22
10/23/2019,4,47
10/23/2019,5,145
10/23/2019,6,219
10/23/2019,7,340
10/23/2019,8,603
10/23/2019,9,503
10/23/2019,10,530
10/23/2019,11,554
10/23/2019,12,651
10/23/2019,13,633
10/23/2019,14,625
10/23/2019,15,635
10/23/2019,16,642
10/23/2019,17,704
10/23/2019,18,699
10/23/2019,19,683
10/23/2019,20,601
10/23/2019,21,495
10/23/2019,22,410
10/23/2019,23,244
10/24/2019,0,160
10/24/2019,1,72
10/24/2019,2,27
10/24/2019,3,36
10/24/2019,4,52
10/24/2019,5,148
10/24/2019,6,215
10/24/2019,7,494
10/24/2019,8,539
10/24/2019,9,533
10/24/2019,10,516
10/24/2019,11,599
10/24/2019,12,606
10/24/2019,13,349
10/24/2019,14,445
10/24/2019,15,423
10/24/2019,16,408
10/24/2019,17,539
10/24/2019,18,635
10/24/2019,19,668
10/24/2019,20,598
10/24/2019,21,465
10/24/2019,22,458
10/24/2019,23,254
10/25/2019,0,162
10/25/2019,1,69
10/25/2019,2,35
10/25/2019,3,27
10/25/2019,4,49
10/25/2019,5,116
10/25/2019,6,209
10/25/2019,7,450
10/25/2019,8,565
10/25/2019,9,515
10/25/2019,10,605
10/25/2019,11,644
10/25/2019,12,666
10/25/2019,13,723
10/25/2019,14,628
10/25/2019,15,641
10/25/2019,16,503
10/25/2019,17,589
10/25/2019,18,654
10/25/2019,19,719
10/25/2019,20,632
10/25/2019,21,625
10/25/2019,22,540
10/25/2019,23,365
10/26/2019,0,256
10/26/2019,1,194
10/26/2019,2,107
10/26/2019,3,48
10/26/2019,4,42
10/26/2019,5,82
10/26/2019,6,122
10/26/2019,7,232
10/26/2019,8,358
10/26/2019,9,451
10/26/2019,10,550
10/26/2019,11,648
10/26/2019,12,697
10/26/2019,13,723
10/26/2019,14,702
10/26/2019,15,503
10/26/2019,16,714
10/26/2019,17,694
10/26/2019,18,724
10/26/2019,19,652
10/26/2019,20,492
10/26/2019,21,571
10/26/2019,22,500
10/26/2019,23,373
10/27/2019,0,320
10/27/2019,1,145
10/27/2019,2,89
10/27/2019,3,51
10/27/2019,4,40
10/27/2019,5,47
10/27/2019,6,94
10/27/2019,7,35
10/27/2019,8,41
10/27/2019,9,53
10/27/2019,10,157
10/27/2019,11,257
10/27/2019,12,288
10/27/2019,13,384
10/27/2019,14,378
10/27/2019,15,383
10/27/2019,16,382
10/27/2019,17,282
10/27/2019,18,348
10/27/2019,19,418
10/27/2019,20,441
10/27/2019,21,367
10/27/2019,22,267
10/27/2019,23,193
10/28/2019,0,113
