Date,Time,TrafficVolume
10/7/2019,0,125
10/7/2019,1,47
10/7/2019,2,29
10/7/2019,3,18
10/7/2019,4,46
10/7/2019,5,145
10/7/2019,6,232
10/7/2019,7,490
10/7/2019,8,594
10/7/2019,9,570
10/7/2019,10,574
10/7/2019,11,639
10/7/2019,12,631
10/7/2019,13,657
10/7/2019,14,639
10/7/2019,15,562
10/7/2019,16,140
10/7/2019,17,381
10/7/2019,18,519
10/7/2019,19,605
10/7/2019,20,611
10/7/2019,21,491
10/7/2019,22,339
10/7/2019,23,190
10/8/2019,0,133
10/8/2019,1,36
10/8/2019,2,35
10/8/2019,3,19
10/8/2019,4,47
10/8/2019,5,143
10/8/2019,6,243
10/8/2019,7,404
10/8/2019,8,478
10/8/2019,9,451
10/8/2019,10,457
10/8/2019,11,321
10/8/2019,12,336
10/8/2019,13,311
10/8/2019,14,351
10/8/2019,15,547
10/8/2019,16,562
10/8/2019,17,393
10/8/2019,18,426
10/8/2019,19,518
10/8/2019,20,562
10/8/2019,21,515
10/8/2019,22,447
10/8/2019,23,247
10/9/2019,0,153
10/9/2019,1,64
10/9/2019,2,27
10/9/2019,3,22
10/9/2019,4,50
10/9/2019,5,147
10/9/2019,6,221
10/9/2019,7,502
10/9/2019,8,639
10/9/2019,9,555
10/9/2019,10,579
10/9/2019,11,642
10/9/2019,12,704
10/9/2019,13,814
10/9/2019,14,701
10/9/2019,15,637
10/9/2019,16,639
10/9/2019,17,597
10/9/2019,18,623
10/9/2019,19,626
10/9/2019,20,632
10/9/2019,21,525
10/9/2019,22,441
10/9/2019,23,227
10/10/2019,0,160
10/10/2019,1,45
10/10/2019,2,32
10/10/2019,3,24
10/10/2019,4,61
10/10/2019,5,146
10/10/2019,6,219
10/10/2019,7,506
10/10/2019,8,654
10/10/2019,9,566
10/10/2019,10,604
10/10/2019,11,614
10/10/2019,12,663
10/10/2019,13,795
10/10/2019,14,763
10/10/2019,15,658
10/10/2019,16,646
10/10/2019,17,563
10/10/2019,18,634
10/10/2019,19,714
10/10/2019,20,627
10/10/2019,21,574
10/10/2019,22,476
10/10/2019,23,298
10/11/2019,0,167
10/11/2019,1,63
10/11/2019,2,21
10/11/2019,3,25
10/11/2019,4,44
10/11/2019,5,121
10/11/2019,6,197
10/11/2019,7,470
10/11/2019,8,593
10/11/2019,9,645
10/11/2019,10,623
10/11/2019,11,862
10/11/2019,12,728
10/11/2019,13,763
10/11/2019,14,768
10/11/2019,15,607
10/11/2019,16,798
10/11/2019,17,566
10/11/2019,18,588
10/11/2019,19,575
10/11/2019,20,676
10/11/2019,21,638
10/11/2019,22,502
10/11/2019,23,404
10/12/2019,0,287
10/12/2019,1,187
10/12/2019,2,94
10/12/2019,3,35
10/12/2019,4,39
10/12/2019,5,71
10/12/2019,6,134
10/12/2019,7,214
10/12/2019,8,353
10/12/2019,9,495
10/12/2019,10,571
10/12/2019,11,604
10/12/2019,12,657
10/12/2019,13,759
10/12/2019,14,688
10/12/2019,15,619
10/12/2019,16,719
10/12/2019,17,654
10/12/2019,18,619
10/12/2019,19,694
10/12/2019,20,636
10/12/2019,21,571
10/12/2019,22,514
10/12/2019,23,442
10/13/2019,0,330
10/13/2019,1,171
10/13/2019,2,94
10/13/2019,3,35
10/13/2019,4,41
10/13/2019,5,27
10/13/2019,6,66
10/13/2019,7,114
10/13/2019,8,258
10/13/2019,9,299
10/13/2019,10,362
10/13/2019,11,466
10/13/2019,12,405
10/13/2019,13,439
10/13/2019,14,441
10/13/2019,15,443
10/13/2019,16,525
10/13/2019,17,455
10/13/2019,18,512
10/13/2019,19,546
10/13/2019,20,514
10/13/2019,21,415
10/13/2019,22,284
10/13/2019,23,210
10/14/2019,0,115
10/14/2019,1,42
10/14/2019,2,36
10/14/2019,3,18
10/14/2019,4,39
10/14/2019,5,138
10/14/2019,6,214
10/14/2019,7,504
10/14/2019,8,579
10/14/2019,9,515
10/14/2019,10,544
10/14/2019,11,540
10/14/2019,12,558
10/14/2019,13,637
10/14/2019,14,619
10/14/2019,15,605
10/14/2019,16,616
10/14/2019,17,662
10/14/2019,18,610
10/14/2019,19,629
10/14/2019,20,585
10/14/2019,21,463
10/14/2019,22,299
10/14/2019,23,250
10/15/2019,0,122
10/15/2019,1,41
10/15/2019,2,31
10/15/2019,3,28
10/15/2019,4,54
10/15/2019,5,146
10/15/2019,6,252
10/15/2019,7,538
10/15/2019,8,660
10/15/2019,9,578
10/15/2019,10,598
10/15/2019,11,662
10/15/2019,12,756
10/15/2019,13,692
10/15/2019,14,600
10/15/2019,15,771
10/15/2019,16,616
10/15/2019,17,605
10/15/2019,18,601
10/15/2019,19,661
10/15/2019,20,652
10/15/2019,21,558
10/15/2019,22,433
10/15/2019,23,249
10/16/2019,0,171
10/16/2019,1,48
10/16/2019,2,24
10/16/2019,3,18
10/16/2019,4,47
10/16/2019,5,152
10/16/2019,6,224
10/16/2019,7,472
10/16/2019,8,584
10/16/2019,9,615
10/16/2019,10,620
10/16/2019,11,628
10/16/2019,12,672
10/16/2019,13,699
10/16/2019,14,665
10/16/2019,15,650
10/16/2019,16,764
10/16/2019,17,715
10/16/2019,18,669
10/16/2019,19,662
10/16/2019,20,625
10/16/2019,21,528
10/16/2019,22,453
10/16/2019,23,263
10/17/2019,0,150
10/17/2019,1,73
10/17/2019,2,38
10/17/2019,3,20
10/17/2019,4,51
10/17/2019,5,112
10/17/2019,6,210
10/17/2019,7,480
10/17/2019,8,553
10/17/2019,9,611
10/17/2019,10,670
10/17/2019,11,679
10/17/2019,12,679
10/17/2019,13,702
10/17/2019,14,547
10/17/2019,15,587
10/17/2019,16,671
10/17/2019,17,592
10/17/2019,18,612
10/17/2019,19,717
10/17/2019,20,768
10/17/2019,21,521
10/17/2019,22,443
10/17/2019,23,234
10/18/2019,0,121
10/18/2019,1,52
10/18/2019,2,35
10/18/2019,3,18
10/18/2019,4,58
10/18/2019,5,103
10/18/2019,6,200
10/18/2019,7,409
10/18/2019,8,530
10/18/2019,9,583
10/18/2019,10,599
10/18/2019,11,735
10/18/2019,12,748
10/18/2019,13,812
10/18/2019,14,788
10/18/2019,15,727
10/18/2019,16,794
10/18/2019,17,698
10/18/2019,18,614
10/18/2019,19,673
10/18/2019,20,588
10/18/2019,21,612
10/18/2019,22,496
10/18/2019,23,393
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
